Airline,AirlineID,Source airport,Source airport ID,Destination airport,Destination airport ID,Role,Equipment
AA,AAL,BOS,3448,LHR,507,FO,767
AA,AAL,LHR,507,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,SJC,3748,FO,767
AA,AAL,SJC,3748,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,LHR,507,FO,767
AA,AAL,LHR,507,BOS,3448,FO,767
AA,AAL,BOS,3448,LHR,507,FO,767
AA,AAL,LHR,507,BOS,3448,FO,767
AA,AAL,BOS,3448,LHR,507,FO,767
AA,AAL,LHR,507,LHR,507,FO,767
AA,AAL,LHR,507,BOS,3448,FO,767
AA,AAL,BOS,3448,LHR,507,FO,767
AA,AAL,LHR,507,BOS,3448,FO,767
AA,AAL,BOS,3448,LHR,507,FO,767
AA,AAL,LHR,507,BOS,3448,FO,767
AA,AAL,BOS,3448,SJU,2890,FO,767
AA,AAL,SJU,2890,BOS,3448,FO,767
AA,AAL,BOS,3448,LHR,507,FO,767
AA,AAL,LHR,507,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,LHR,507,FO,767
AA,AAL,LHR,507,BOS,3448,FO,767
AA,AAL,BOS,3448,LHR,507,FO,767
AA,AAL,LHR,507,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,LHR,507,FO,767
AA,AAL,LHR,507,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
AA,AAL,BOS,3448,BDA,4069,FO,767
AA,AAL,BDA,4069,BOS,3448,FO,767
